,Hotels,Prices,Descriptions,Full_Descriptions
41,Occidental Atenea Mar - Adults Only,"€ 2,059",Multiple bed types,"Situated 150 metres from Barcelona’s Nova Mar Bella Beach, Occidental Atenea Mar - Adults Only offers sauna and gym, and a free WiFi zone. Each air-conditioned room features international satellite TV.

The hotel features a terrace with sea views and a seasonal infinity pool with hydromassage beds and seats. You can rent Balinese beds and sun loungers. There is also a seasonal snack bar, which is open from June to September.

Occidental Atenea Mar - Adults Only offers bright, functional rooms, many with views of the city or sea. They include a minibar, a free safe and a private bathroom with amenities.

The hotel’s Canela restaurant serves à la carte Mediterranean meals, and a varied breakfast buffet is available each morning. There are also many bars and restaurants on the nearby seafront promenade.

Regular bus services to central Barcelona stop outside the Occidental Atenea Mar - Adults Only, while Poble Nou Metro Station is a 10-minute walk away. The CCIB Conference Centre and Diagonal Mar Shopping Centre are just 1 km from the hotel."
42,Ohla Eixample,"€ 2,475",1 double bed,"You're eligible for a Genius discount at Ohla Eixample! To save at this property, all you have to do is sign in.
Offering a year-round outdoor pool with city views, Ohla Eixample is a stylish boutique hotel located 10 minutes’ walk from two of Gaudi’s major works, La Pedrera and Casa Batlló. There is free high-speed WiFi available throughout and a Clef d’Or Concierge service.

Each well-designed room comes with a large bed and a private bathroom with bath or a rainfall shower. There is a 55-inch flat-screen satellite TV, a minibar with local delicatessen and a free safe for laptops. A turndown service is also available.

The on-site Michelin-starred Xerta Restaurant serves traditional recipes from the Ebro Region; and a complete breakfast is also served every morning including a huge selection of local products. The hotel also has the Lobby Bar, a meeting point for both locals and hotel guests; and the Sky Bar, a creative cocktail bar.

Guests can enjoy a selection of high-tech fitness equipment at the on-site gym; and beauty treatments and fashion services such as personal shopper are available on prior request.

Ohla Eixample is conveniently located in the Eixample District, in the modernist area locally known as Quadrat d’Or - Golden Square; within 5 minutes’ walk of the emblematic Diagonal Avenue, Rambla de Catalunya and Paseo de Gracia shopping boulevards. This urban building has an eye-catching ceramic façade, made from over 1000 carved pieces that represent Vivaldi’s Four Seasons."
43,Chi,"€ 1,419",Beds: 1 double or 2 singles,"You're eligible for a Genius discount at Chi! To save at this property, all you have to do is sign in.
Located in Barcelona’s Eixample District, beside Rocafort Metro Station and 15 minutes’ walk from Plaza Catalunya,  Chi Hotel offers rooms with air-conditioning and heating (depending on the season) and free WiFi.

The modern rooms include a flat-screen TV, minibar, safe and a private bathroom with free toiletries and a hairdryer.

There is a 24-hour front desk at the property. Staff can help with tourist information and car hire.

You will find many shops, restaurants and bars in the surrounding area."
44,Hotel Sagrada Familia,"€ 1,087",Beds: 1 double or 2 singles,"Located just 2 blocks from the Sagrada Familia, this hotel has a rooftop terrace overlooking Gaudí’s world-famous temple. It offers 24-hour reception and rooms with satellite TV and free Wi-Fi.

The air-conditioned rooms at the Hotel Sagrada Familia feature parquet floors and modern furniture. They are equipped with a minibar and the private bathrooms come with a hairdryer.

Glòries Shopping Centre and Arc de Triomf are under 20 minutes’ walk from the hotel. Sagrada Familia Metro Station, located a 3-minute walk away, connects you with the city centre in 5 minutes."
45,Vincci Mae,"€ 1,791",Beds: 1 double or 2 singles,"You're eligible for a Genius discount at Vincci Mae! To save at this property, all you have to do is sign in.
Set beside Barcelona's Francesc Macià Square, Vincci Mae features a terrace with a plunge pool and fantastic views of Diagonal Avenue and Tibidabo Mountain.

Vincci Mae boasts an on-site restaurant and bar, it also has a 24-hour front desk and offers free WiFi throughout the property.  An assorted buffet breakfast is offered everyday.

Stylish rooms feature a simple and bright décor, air-conditioning, a flat-screen TV, kettle, and minibar. The fancy private bathroom includes a shower, free toiletries ,and a hairdryer.

Casa Batlló is 1.6 km from Vincci Mae, while La Pedrera is 1.3 km away. You can reach Plaza Catalunya in 20 minutes in public transport."
46,Garbi Millenni,"€ 1,513",Multiple bed types,"Hotel Millenni is a boutique hotel set 50 metres from Paral.lel Metro Station. It features a small roof terrace with a hot tub and impressive city views. All rooms are stylish and offer free Wi-Fi.

Accommodation at the Millenni is brightly decorated. The climate-controlled rooms feature satellite TV and a fully equipped bathroom.

A buffet breakfast is served daily and there are several traditional bars and restaurants in the surrounding Raval district.

Guests can have access to the gym, the hot tub and the sauna. There are 2 computers which have internet access, as well as a small library with daily newspapers. There is also a lounge area where guests can watch the TV.

The famous Las Ramblas are just 10 minutes’ walk from the hotel. The funicular train to Montjuïc Castle leaves from the nearby Metro station."
47,Allegro Barcelona,"€ 1,508",Beds: 1 double or 2 singles,"You're eligible for a Genius discount at Allegro Barcelona! To save at this property, all you have to do is sign in.
Allegro Barcelona is a futuristic design hotel, situated 100 metres from Barcelona’s Diagonal Metro Station. Its stylish rooms include free Wi-Fi, digital radio and LCD TV with satellite channels.

Each room at Allegro Barcelona features elegant white décor with colourful touches. Rooms are air-conditioned and come with an electronic safe. Bathrooms include a hairdryer and toiletries.

A continental breakfast buffet is served until 10:30 each day at Allegro Barcelona. Numerous tapas bars and pavement cafés can be found on Rambla de Catalunya, a 5-minute walk away.

Other facilities include portable WiFi for no charge.

The famous Gaudi buildings and designer shops of Passeig de Gracia are just 500 metres from the hotel, while Plaza Catalunya is a 15-minute walk away. Staff at the 24-hour reception can provide information about Barcelona, recommend excursions and arrange airport transfers."
48,Hostal Boqueria,"€ 1,377",Beds: 1 double or 2 singles,"You're eligible for a Genius discount at Hostal Boqueria! To save at this property, all you have to do is sign in.
Situated on Barcelona’s Las Ramblas, this guest house is less than 200 metres from Liceu Metro Station. It offers simple, comfortable rooms and has free Wi-Fi access available throughout.

The Hostal Boquería’s functional rooms feature air conditioning and cable TV, as well as heating and a safe. The private bathroom comes with a hairdryer. Rooms with views of the Ramblas are subject to availability.

The Boquería has a 24-hour reception. Guests can also make use of its luggage storage.

The central location makes visiting Barcelona’s sights easy. The Boquería Market is just across the Ramblas. Barcelona Cathedral and the surrounding Gothic Quarter are within 5 minutes’ walk of Hostal Boqueria."
49,Catalonia Sagrada Familia,"€ 1,790",Beds: 1 double or 2 singles,"A 15-minute walk from Gaudí's Sagrada Família, Catalonia Sagrada Familia is just 300 metres from Clot Metro and Train Station. It features a restaurant, a seasonal outdoor pool and a gym.

The Catalonia Sagrada Familia features traditional, bright décor and its rooms are have a desk, a mini fridge with complimentary water and a safety deposit box. Free Wi-Fi access is available.
All hotel rooms have smart TVs, which are equipped with Chromecast app.

The restaurant serves a range of Catalan and Mediterranean cuisine, as well as a buffet breakfast. The café-bar offers a selection of drinks and snacks throughout the day and there is also a bar.

Car hire is available on site, and staff at the Catalonia Sagrada Familia’s 24-hour reception can provide information on Barcelona and its many attractions. The hotel is 200 metres from the Torre Agbar Tower.

Clot Metro Station connects guests to the city centre in 4 stops and the airport train also stops here."
50,Hotel Turin Barcelona,"€ 1,452",1 double bed,"You're eligible for a Genius discount at Hotel Turin Barcelona! To save at this property, all you have to do is sign in.
Hotel Turin Barcelona is located just 50 meters from the famous Ramblas in Barcelona. It offers free Wi-Fi, 24-hour reception, free luggage storage and a lovely sun terrace. There is free water, coffee and tea in the lobby lounge.

It features stylish rooms with wooden floors and furnishings. They are equipped with a private bathroom, hairdryer, safe, Smart TV and minibar.

The Turin Hotel is located just 150 meters from the Gothic District, 3 minutes from the Liceu metro and a 20-minute walk from the beach. In the area there are several restaurants, shops and supermarkets open until late.

The hotel offers a fabulous breakfast buffet. Most of the food items come from La Boquería Market, located 2 minutes' walk away."
